Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Games,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Wood Elf,Eddie,France,France,Manant,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,cesarsibaja,Mexico,Mexico,COrtigosa,EL NOVENO OTOÃO FMBB,BB 2020,2021,11/7/2021,T,1,1,,,2,2,2,2,0,50.0%
Wood Elf,Thot,France,France,Pilaf,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,2,2,2,2,0,50.0%
Chaos Renegade,Darlondo,Germany,Germany,Maves,Maskenball,BB 2020,2021,11/7/2021,T,1,1,,,0,0,0,0,0,50.0%
High Elf,arioso,Germany,Germany,melmoth,Maskenball,BB 2020,2021,11/7/2021,T,1,1,,,0,0,0,0,0,50.0%
Nurgle,Hasbe,Germany,,Maves,Maskenball,BB 2020,2021,11/7/2021,T,1,1,,,0,0,0,0,0,50.0%
Orc,Jogrenaught,United States,United States Of America,beansanddice,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Amazon,paladinkwa,United States,United States Of America,slith,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,4,0,4,4,100.0%
Tomb Kings,Biscotti,United States,,FloridaMan,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Imperial Nobility,Sturmjarl,United States,United States Of America,rhaf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Imperial Nobility,FatNinjaPanda,United States,,TheDrake,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Snotling,Grentain,United States,,Roadhog,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Human,Acavenas,United States,United States Of America,nornbreeder,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,Roadhog,United States,,FloridaMan,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,1,3,1,-2,0.0%
Vampire,TheDrake,United States,United States Of America,Joker2and53,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Norse,AlphaWolf,United States,United States Of America,lootloader,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Imperial Nobility,Sturmjarl,United States,United States Of America,paladinkwa,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Ogre,Brogre,United States,United States Of America,Doombeard_Dave,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Snotling,Grentain,United States,,FatNinjaPanda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Amazon,Tyveron,United States,United States Of America,Jogrenaught,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Wood Elf,Zephiel,United States,,Biscotti,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Lizardmen,rhaf,United States,United States Of America,Greenheart22,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Norse,beansanddice,United States,,slith,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,3,1,3,2,100.0%
Chaos Chosen,SquishyToad,United States,,Equity,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Black Orc,Goblinacus,United States,,Ikeda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,2,3,2,3,1,100.0%
Snotling,ThePoPo,United States,United States Of America,soppm,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Halfling,Mowgli,United States,United States Of America,Aftershock912,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Dwarf,Equity,United States,,SquishyToad,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Orc,Jogrenaught,United States,United States Of America,Tyveron,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,soppm,United States,,ThePoPo,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,slith,United States,United States Of America,beansanddice,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,1,3,1,-2,0.0%
Tomb Kings,Biscotti,United States,,Zephiel,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Chosen,Greenheart22,United States,,rhaf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Necromantic Horror,Aftershock912,United States,United States Of America,Mowgli,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Snotling,Ikeda,United States,United States Of America,Goblinacus,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,2,3,2,-1,0.0%
Amazon,paladinkwa,United States,United States Of America,Sturmjarl,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Black Orc,lootloader,United States,,AlphaWolf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Chaos Chosen,Doombeard_Dave,United States,United States Of America,Brogre,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Vampire,Serena,United States,,gaddockteeg,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Imperial Nobility,7HAMZA7,France,,victorhugo,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,Dikeus,France,,public,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,3,0,3,0,-3,0.0%
Black Orc,Welp,United States,,minizuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Chosen,rafikus,France,France,Mr_Creed,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Daemons of Khorne,Historic,France,France,Clement0,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Daemons of Khorne,minizuk,United States,,Serena,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,Boulaz,France,,Chedrak,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,shortstuff,Denmark,Denmark,Pete,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,3,0,3,0,-3,0.0%
Amazon,Budmilka,France,France,Buckler,Comtoise Bowl VII,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,randomguy87,Denmark,Denmark,megamudcrab,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,atp951,Denmark,Denmark,randomguy87,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Old World Alliance,pondcastle,Denmark,Denmark,megamudcrab,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,sommer,Denmark,Denmark,dromo,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,2,2,2,2,0,50.0%
Black Orc,Welp,United States,,snottyblackhoof,Dutch Killz Kup V,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Tomb Kings,Etheran,France,France,obsidian,Comtoise Bowl VII,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
High Elf,eldiouk,France,France,Cissou,Bowl des Vignes XI,BB 2020,2021,9/19/2021,T,1,1,,,2,2,2,2,0,50.0%
Underworld Denizens,dromo,Denmark,,atp951,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,3,3,3,3,0,50.0%
Underworld Denizens,biereforever,France,France,eldiouk,Bowl des Vignes XI,BB 2020,2021,9/19/2021,T,1,1,,,4,4,4,4,0,50.0%
Human,DirtyD,United States,,Welp,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Human,atp951,Denmark,Denmark,pondcastle,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Imperial Nobility,FatNinjaPanda,United States,,Grentain,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Norse,FloridaMan,United States,United States Of America,Roadhog,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,3,1,3,2,100.0%
Black Orc,Joker2and53,United States,United States Of America,TheDrake,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Goblin,nornbreeder,United States,United States Of America,Acavenas,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Amazon,paladinkwa,United States,United States Of America,AlphaWolf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,rhaf,United States,United States Of America,Joker2and53,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,Roadhog,United States,,Equity,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Wood Elf,Zephiel,United States,,Tyveron,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,slith,United States,United States Of America,Acavenas,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,beansanddice,United States,,Mowgli,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,FloridaMan,United States,United States Of America,nornbreeder,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,1,3,1,-2,0.0%
Chaos Chosen,SquishyToad,United States,,Biscotti,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Black Orc,lootloader,United States,,Goblinacus,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,0,3,0,-3,0.0%
Vampire,TheDrake,United States,United States Of America,Greenheart22,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,4,0,4,0,-4,0.0%
Snotling,Grentain,United States,,Doombeard_Dave,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Imperial Nobility,FatNinjaPanda,United States,,Sturmjarl,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Snotling,Ikeda,United States,United States Of America,Jogrenaught,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,2,2,2,2,0,50.0%
Necromantic Horror,Aftershock912,United States,United States Of America,soppm,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Snotling,ThePoPo,United States,United States Of America,Brogre,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Shambling Undead,soppm,United States,,Aftershock912,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Ogre,Brogre,United States,United States Of America,ThePoPo,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,Jogrenaught,United States,United States Of America,Ikeda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,2,2,2,2,0,50.0%
Imperial Nobility,Sturmjarl,United States,United States Of America,FatNinjaPanda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Norse,AlphaWolf,United States,United States Of America,paladinkwa,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Amazon,Tyveron,United States,United States Of America,Zephiel,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Dwarf,Equity,United States,,Roadhog,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Human,Acavenas,United States,United States Of America,slith,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Black Orc,Joker2and53,United States,United States Of America,rhaf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Tomb Kings,Biscotti,United States,,SquishyToad,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Chosen,Doombeard_Dave,United States,United States Of America,Grentain,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Black Orc,Goblinacus,United States,,lootloader,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,3,0,3,3,100.0%
Chaos Chosen,Greenheart22,United States,,TheDrake,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,4,0,4,4,100.0%
Halfling,Mowgli,United States,United States Of America,beansanddice,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Goblin,nornbreeder,United States,United States Of America,FloridaMan,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,3,1,3,2,100.0%
Dark Elf,HydroHound,Australia,Australia,m.r.morgan,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,2,1,2,1,-1,0.0%
Nurgle,strmwng,Australia,Australia,patpool,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,1,0,1,0,-1,0.0%
Tomb Kings,TheOriginalForce,Australia,Australia,nubs11,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,1,0,1,0,-1,0.0%
Halfling,AusMonty,Australia,,dazedmw,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,4,0,4,0,-4,0.0%
High Elf,morka,Australia,Australia,KeepitCoul,Goldcrush 2021,BB 2020,2021,2/27/2021,T,1,1,,,2,2,2,2,0,50.0%
Snotling,johnnywilkinson,Australia,Australia,simey,Goldcrush 2021,BB 2020,2021,2/27/2021,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,lukeadrian,Australia,Australia,steelprimate,Goldcrush 2021,BB 2020,2021,2/27/2021,W,,1,,1,1,4,1,4,3,100.0%
Tomb Kings,Stevutz,Australia,Australia,GreySquirrel,Goldcrush 2021,BB 2020,2021,2/27/2021,W,,1,,1,0,2,0,2,2,100.0%
Underworld Denizens,Thorslev,Australia,Australia,rivfader,Goldcrush 2021,BB 2020,2021,2/27/2021,W,,1,,1,0,2,0,2,2,100.0%
Underworld Denizens,JamesDSF,Australia,Australia,jonno3608,Goldcrush 2021,BB 2020,2021,2/27/2021,W,,1,,1,0,2,0,2,2,100.0%
Halfling,Witch_Ancestor,Australia,Australia,ghetti,Goldcrush 2021,BB 2020,2021,2/27/2021,W,,1,,1,1,2,1,2,1,100.0%
Skaven,rivfader,Australia,Australia,Thorslev,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,2,0,2,0,-2,0.0%
Amazon,steelprimate,Australia,Australia,lukeadrian,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,4,1,4,1,-3,0.0%
Daemons of Khorne,GreySquirrel,Australia,Australia,Stevutz,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,2,0,2,0,-2,0.0%
Underworld Denizens,jonno3608,Australia,Australia,JamesDSF,Goldcrush 2021,BB 2020,2021,2/27/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,Giants,France,,Helborg,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Norse,Eldoroth,France,,Hely,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Orc,Laerthis,France,France,Manant,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Shambling Undead,grossness13,United States,,DirtyD,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Shambling Undead,MightyZuk,United States,United States Of America,gaddockteeg,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Dwarf,yoshi74,France,France,mcouille,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Dwarf,chaos49er,Denmark,,megamudcrab,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Dwarf,ryberg,Denmark,,pondcastle,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Human,sommer,Denmark,Denmark,chaos49er,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Lizardmen,Ashrame,France,,Snatch,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Shambling Undead,Getyaya,France,France,Nisalis,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Orc,Cissou,France,France,Sran_isback,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Shambling Undead,Nourrou,France,,shogunfrance,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Orc,Leonhart,France,France,Mawach,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,4,1,4,3,100.0%
Chaos Chosen,Passfinder,France,France,Vynyarian,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Chosen,Hely,France,France,velomora,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Necromantic Horror,Wyld,United States,,Oobaa47,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Necromantic Horror,Wyld,United States,,MightyZuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Nurgle,Nyavlis,France,France,yoxcoco,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Black Orc,Oobaa47,United States,United States Of America,minizuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Black Orc,Oobaa47,United States,United States Of America,gaddockteeg,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Elf Union,Galanthil,France,France,KalicÃ©o,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Chosen,Passfinder,France,France,public,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Pete,Denmark,Denmark,chaos49er,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Pete,Denmark,Denmark,sommer,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Pete,Denmark,Denmark,dromo,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Necromantic Horror,Brun`s,France,France,Jerem,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,morsocons,France,France,silkoun,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Vampire,shogunfrance,France,France,velomora,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,morsocons,France,France,Eldoroth,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,3,1,3,2,100.0%
Underworld Denizens,dromo,Denmark,,pondcastle,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,2,3,2,3,1,100.0%
Underworld Denizens,biereforever,France,France,freyn,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,4,0,4,4,100.0%
Halfling,shortstuff,Denmark,Denmark,megamudcrab,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Halfling,shortstuff,Denmark,Denmark,atp951,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Ogre,Mr_Creed,France,France,yoshi74,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Amazon,Scouseboy,United Kingdom,England,SickasEggs,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,drewcifer77,United Kingdom,England,Podfrey,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,battlepuppy,United Kingdom,England,Fireolli,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Orc,Ratman,United Kingdom,England,KillerB,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,darkdan,United Kingdom,England,the_fritch,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,Fireolli,United Kingdom,England,widram,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Shambling Undead,darkdan,United Kingdom,England,Bungeeman,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Skaven,dafo,United Kingdom,England,Nonumber,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Wood Elf,SickasEggs,United Kingdom,England,bogenhafen_bron,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Underworld Denizens,SkraggDave,United Kingdom,England,vagabond1982uk,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Black Orc,Petew,United Kingdom,England,KillerB,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Underworld Denizens,SkraggDave,United Kingdom,England,drewcifer77,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Halfling,GORGOROTH,United Kingdom,Ireland,Ratman,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,widram,United Kingdom,Wales,ringbeard,Waterbowl 16,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Orc,grubloot,Austria,Germany,Fluffy,SBBM Cup Pandemic Phase-out Edition,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Slann,TheOldTook,Austria,Switzerland,Tojurub,SBBM Cup Pandemic Phase-out Edition,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Dwarf,Cripple_roller,United States,,manny_fresh,The Odyssey Open,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Old World Alliance,JesuR,Spain,Spain,kiosone,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Orc,Maloles,Spain,Spain,kiosone,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Amazon,Ivan_Landwehr,Spain,Spain,chicobowl,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Chaos Dwarf,Drexxl,Sweden,Sweden,spoiledsquid,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,skylight,Sweden,,donnydingel,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,zedd,Sweden,Sweden,oberwald_1,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Human,unfriendlyghost,United States,United States Of America,aquilinodiaz,The Odyssey Open,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Human,unfriendlyghost,United States,United States Of America,jtvombaur,The Odyssey Open,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Shambling Undead,qmiw,Sweden,Sweden,Kaithoex,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
Chaos Renegade,jisu,Spain,Spain,SARAH_CONNOR,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Chaos Renegade,jisu,Spain,Spain,Ercarcu,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Necromantic Horror,coach_iosu,Spain,Spain,Juarman,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Necromantic Horror,LordPuto,Spain,Spain,Pako_SF,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Slann,TRISKELBIKER,Spain,Spain,SARAH_CONNOR,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Slann,TRISKELBIKER,Spain,Spain,kiosone,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,0,0,0,0,0,50.0%
Necromantic Horror,coach_iosu,Spain,Spain,SARAH_CONNOR,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,SirMayans,Spain,Spain,Hestiar,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,SirMayans,Spain,Spain,enano_mortal,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Nurgle,Thursablot,Sweden,Sweden,lotto,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Underworld Denizens,Pako_SF,Spain,Spain,JesuR,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Underworld Denizens,Pako_SF,Spain,Spain,enano_mortal,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,1,,,1,1,1,1,0,50.0%
Chaos Renegade,Marty33,Sweden,Sweden,Ionas,Sundsvall Summer Crush x 3,BB 2020,2021,7/17/2021,T,1,1,,,2,2,2,2,0,50.0%
